,codeA,codeB,stockA,stockB,prcCor,rtnCor,volCor,sum
11013,StockData/005387.KS,StockData/005385.KS,['현대차2우B'],['현대차우'],0.9985819873115425,0.8573442660791478,0.5754672786140075,2.431393532004698
769,StockData/005380.KS,StockData/000270.KS,['현대차'],['기아차'],0.97129521591073,0.7347199218150762,0.6476381178586013,2.3536532555844074
12577,StockData/102110.KS,StockData/148020.KS,['TIGER 200'],['KBSTAR 200'],0.9993812420908429,0.9810306600423258,0.356934457092394,2.3373463592255628
8313,StockData/008930.KS,StockData/128940.KS,['한미사이언스'],['한미약품'],0.9737799754429939,0.6481935861406053,0.6810793512881624,2.303052912871762
753,StockData/005380.KS,StockData/012330.KS,['현대차'],['현대모비스'],0.9621089674405118,0.6458984374784468,0.6302048445352241,2.2382122494541825
3090,StockData/096770.KS,StockData/078930.KS,['SK이노베이션'],['GS'],0.8865078966082802,0.6907348618629662,0.6300118611407037,2.20725461961195
12604,StockData/102110.KS,StockData/152100.KS,['TIGER 200'],['ARIRANG 200'],0.9992466633377887,0.9815109622422001,0.22580154188427193,2.2065591674642606
9267,StockData/005830.KS,StockData/001450.KS,['DB손해보험'],['현대해상'],0.9430705556115279,0.6770910050537386,0.5682607127637457,2.1884222734290124
17089,StockData/148020.KS,StockData/152100.KS,['KBSTAR 200'],['ARIRANG 200'],0.9998521789028516,0.9861347566931018,0.1841239580934898,2.170110893689443
6509,StockData/009540.KS,StockData/010620.KS,['현대중공업'],['현대미포조선'],0.8590514794967543,0.7452481519251695,0.5315322021272175,2.1358318335491413
2383,StockData/055550.KS,StockData/000030.KS,['신한지주'],['우리은행'],0.7866933069421965,0.6729318605542844,0.671846454367414,2.131471621863895
11347,StockData/001450.KS,StockData/000060.KS,['현대해상'],['메리츠화재'],0.9438040598109494,0.576724703650917,0.6094113357564996,2.129940099218366
2387,StockData/055550.KS,StockData/024110.KS,['신한지주'],['기업은행'],0.9053675459050881,0.6882797624489658,0.5324675934940303,2.126114901848084
7347,StockData/006800.KS,StockData/005940.KS,['미래에셋대우'],['NH투자증권'],0.7501830958858823,0.8337044736529168,0.5412614058212266,2.125148975360026
2205,StockData/012330.KS,StockData/000270.KS,['현대모비스'],['기아차'],0.9645466987614141,0.5582782759263,0.5999433334182421,2.122768308105956
813,StockData/005380.KS,StockData/005387.KS,['현대차'],['현대차2우B'],0.8391520772043453,0.7665953067866446,0.49679765522795016,2.1025450392189398
847,StockData/005380.KS,StockData/005385.KS,['현대차'],['현대차우'],0.8325262577992838,0.7652840040873256,0.4871381858897554,2.0849484477763647
1659,StockData/105560.KS,StockData/055550.KS,['KB금융'],['신한지주'],0.6807779539646466,0.7949660862697168,0.5920699946939403,2.0678140349283036
2,StockData/005930.KS,StockData/005935.KS,['삼성전자'],['삼성전자우'],0.9971790150342811,0.900399768630325,0.16576322558960624,2.0633420092542125
1677,StockData/105560.KS,StockData/000030.KS,['KB금융'],['우리은행'],0.8868674221264372,0.717017630198152,0.4588443276941271,2.062729380018716
1413,StockData/051910.KS,StockData/051915.KS,['LG화학'],['LG화학우'],0.8995867684437888,0.7440526644257263,0.4075349185109016,2.051174351380417
4242,StockData/086790.KS,StockData/000030.KS,['하나금융지주'],['우리은행'],0.8359558064262848,0.6842091986386518,0.5281243961792517,2.048289401244188
2376,StockData/055550.KS,StockData/086790.KS,['신한지주'],['하나금융지주'],0.7967033267399534,0.701524056780983,0.5412227272282056,2.039450110749142
4963,StockData/000270.KS,StockData/005385.KS,['기아차'],['현대차우'],0.8378195449430532,0.6257793802004629,0.5705169386580764,2.034115863801593
9290,StockData/005830.KS,StockData/000060.KS,['DB손해보험'],['메리츠화재'],0.9548732708614458,0.5388234153423895,0.5355655957665274,2.0292622819703627
9470,StockData/000720.KS,StockData/064350.KS,['현대건설'],['현대로템'],0.829698359509968,0.5187426927027068,0.6756011625243235,2.0240422147369985
3067,StockData/096770.KS,StockData/010950.KS,['SK이노베이션'],['S-Oil'],0.9036190181779648,0.6781437309750453,0.430982163942976,2.012744913095986
5366,StockData/000030.KS,StockData/024110.KS,['우리은행'],['기업은행'],0.7761425654360229,0.7049541024711872,0.49404917319225355,1.9751458410994636
4929,StockData/000270.KS,StockData/005387.KS,['기아차'],['현대차2우B'],0.8416551940546593,0.6167108858944087,0.5095683655842556,1.9679344455333236
12528,StockData/102110.KS,StockData/122630.KS,['TIGER 200'],['KODEX 레버리지'],0.7981047939569461,0.9328174511898807,0.22885820624221268,1.9597804513890396
7354,StockData/006800.KS,StockData/016360.KS,['미래에셋대우'],['삼성증권'],0.8664978805144151,0.756524362132532,0.3364072746085063,1.9594295172554534
3746,StockData/090430.KS,StockData/002790.KS,['아모레퍼시픽'],['아모레G'],0.9703080115535365,0.5598048575160708,0.41581387962096716,1.9459267486905745
14100,StockData/122630.KS,StockData/152100.KS,['KODEX 레버리지'],['ARIRANG 200'],0.8945156774065702,0.9730098769061393,0.06800844731198777,1.9355340016246974
5091,StockData/000810.KS,StockData/001450.KS,['삼성화재'],['현대해상'],0.8825700963259937,0.4983276221869615,0.5156619220323763,1.8965596405453313
544,StockData/068270.KS,StockData/229200.KS,['셀트리온'],['KODEX 코스닥 150'],0.895852046560973,0.6320967626141688,0.36808076511710336,1.8960295742922453
4996,StockData/000270.KS,StockData/011210.KS,['기아차'],['현대위아'],0.8284933500618892,0.5648365698859784,0.492099760584644,1.8854296805325117
15774,StockData/161890.KS,StockData/192820.KS,['한국콜마'],['코스맥스'],0.866840035788332,0.6525905564779229,0.3563667322611466,1.8757973245274016
14073,StockData/122630.KS,StockData/148020.KS,['KODEX 레버리지'],['KBSTAR 200'],0.8875101921314525,0.9750590952193744,0.007127575307543387,1.8696968626583703
11993,StockData/010140.KS,StockData/042660.KS,['삼성중공업'],['대우조선해양'],0.9324517222625062,0.5284534603365476,0.40696111564034365,1.8678662982393974
12013,StockData/010140.KS,StockData/010620.KS,['삼성중공업'],['현대미포조선'],0.7497299021702826,0.643904336439441,0.4676889368140021,1.8613231754237256
4246,StockData/086790.KS,StockData/024110.KS,['하나금융지주'],['기업은행'],0.7864813382700677,0.6588699758815636,0.4158051136155946,1.861156427767226
1670,StockData/105560.KS,StockData/086790.KS,['KB금융'],['하나금융지주'],0.7331994174705508,0.7412114441292457,0.3862013968306495,1.860612258430446
14824,StockData/069620.KS,StockData/003090.KS,['대웅제약'],['대웅'],0.87843817883535,0.46188097194202316,0.5138088014059764,1.8541279521833496
4422,StockData/010950.KS,StockData/078930.KS,['S-Oil'],['GS'],0.8438340116424456,0.6017770523043449,0.4023001076385391,1.8479111715853296
8988,StockData/097950.KS,StockData/001040.KS,['CJ제일제당'],['CJ'],0.9036789594802949,0.4681525628869339,0.4751424692745125,1.8469739916417414
15432,StockData/042670.KS,StockData/034020.KS,['두산인프라코어'],['두산중공업'],0.8847802709433021,0.6359530699427509,0.3144471872416601,1.8351805281277132
6483,StockData/009540.KS,StockData/010140.KS,['현대중공업'],['삼성중공업'],0.6887592909512102,0.6759795037713137,0.4562103622939356,1.8209491570164593
5844,StockData/010130.KS,StockData/078930.KS,['고려아연'],['GS'],0.8187095502393096,0.47641262121783184,0.522486355439941,1.8176085268970825
2249,StockData/012330.KS,StockData/005387.KS,['현대모비스'],['현대차2우B'],0.8634881716129833,0.5425942978116541,0.40953384396775055,1.815616313392388
5074,StockData/000810.KS,StockData/005830.KS,['삼성화재'],['DB손해보험'],0.9199683284662037,0.47682612166971566,0.41741008514413963,1.8142045352800589
